,GamerTag,TotalKills,TotalDeaths,Kill Death Ratio
1,Zeldun,13,6,2.166666667
2,Not ArsoniK x,14,13,1.076923077
3,oJuliThoooooooo,8,12,0.666666667
4,Conejito I2,6,12,0.5
5,Drift 6S,12,10,1.2
6,Atzo Uchiha,13,10,1.3
7,lnsane SniPelu,12,10,1.2
8,AAR SHADOWz,8,13,0.615384615
9,Jimbo,14,15,0.933333333
10,Respct,15,19,0.789473684
11,ramircz,15,20,0.75
12,Quadios,17,13,1.307692308
13,SNlPEDRONE,21,14,1.5
14,KIMBQ,18,16,1.125
15,MQSE,19,16,1.1875
16,interRiotz,13,19,0.684210526
17,Txrminator,5,11,0.454545455
18,Halogan,10,11,0.909090909
19,HoaXfactor,19,9,2.111111111
20,Dynamics nE,13,11,1.181818182
21,IPraying,10,14,0.714285714
22,CasterButtersXD,14,16,0.875
23,Mxgaman,16,12,1.333333333
24,Enzo HCS,11,14,0.785714286
25,WWorkage,7,8,0.875
26,E n i t a e r c,8,14,0.571428571
27,Snailfie,18,4,4.5
28,iTripnotic,4,11,0.363636364
29,NATURAL CHA0S,8,20,0.4
30,LowGi,11,17,0.647058824
31,BBrandxn,8,17,0.470588235
32,BigJack Faux,16,11,1.454545455
33,H0TSHXT,14,10,1.4
34,Tragicxo,18,13,1.384615385
35,Metroyd,17,19,0.894736842
36,AjarBeet3268349,25,10,2.5
37,ImmoralMonarch,13,8,1.625
38,just2oN,5,11,0.454545455
39,Nasty Swats,8,14,0.571428571
40,Bizarrest,13,4,3.25
41,DIKEY HCS,6,12,0.5
42,AS xNerviin08,8,13,0.615384615
43,Champism,14,8,1.75
44,Provisionality,10,7,1.428571429
45,DeaThLowKy,39,13,3
46,xlMasterFaiklx,18,25,0.72
47,Emmanuel perez6,21,22,0.954545455
48,THxProdigyZ,25,19,1.315789474
49,SouthwardMass54,23,22,1.045454545
50,ELGUIBER2116,7,32,0.21875
51,Matthew Wonders,22,8,2.75
52,Crewman XII,13,17,0.764705882
53,Nader Hader,12,14,0.857142857
54,Lacus,11,12,0.916666667
55,ReleaseVTS,4,15,0.266666667
56,BlaCk DraEn0R,5,19,0.263157895
57,ValorRecognized,16,6,2.666666667
58,Daimyo,15,9,1.666666667
59,Chaaarl Glover,20,19,1.052631579
60,iNxraco,29,21,1.380952381
61,Mooncakery,26,28,0.928571429
62,Ninja is Risen,31,22,1.409090909
63,Lundddd,20,26,0.769230769
64,iMariin,20,22,0.909090909
65,l PuLsar EU,12,17,0.705882353
66,I AM FATCOL,21,24,0.875
67,EvilRhino144064,11,12,0.916666667
68,TrickShotzzy,15,8,1.875
69,iAcTiVisioNx,10,16,0.625
70,xTheBoss Ryan,9,11,0.818181818
71,the 17th best,14,9,1.555555556
72,YOUNGxCABOOSE,9,12,0.75
73,ITS H0TSH0T,6,12,0.5
74,Midnite Sol,5,10,0.5
75,KYRI3,10,8,1.25
76,R1fColombia,10,7,1.428571429
77,l Spraydown l,10,5,2
78,PookyFPS,8,9,0.888888889
79,H2 CHRlS,17,6,2.833333333
80,FRNCHFRlESATTAK,0,3,0
81,GT Rok,15,6,2.5
82,Miss Dankooble,10,21,0.476190476
83,don cronson,11,7,1.571428571
84,EqualFlea1,8,8,1
85,SplitYourWig100,16,19,0.842105263
86,Greedy EA CEO,0,8,0
87,FvG Youngblood,13,15,0.866666667
88,xXColinWorSXxRF,22,12,1.833333333
89,Quetzal CorEsp,17,17,1
90,Hex108,0,9,0
91,AcquittedGoose9,5,7,0.714285714
92,Death Eagel48,5,13,0.384615385
93,Lord Jeffree,28,15,1.866666667
94,SniperBandit420,8,11,0.727272727
95,Dude Perfect8,6,3,2
96,Issa Satellite,12,5,2.4
97,InYahBackpack,8,5,1.6
98,Trivia o,7,6,1.166666667
99,Zen 1g,2,9,0.222222222
100,FLA5H,5,7,0.714285714
101,Xman IIII,8,7,1.142857143
102,InfluencH5,4,10,0.4
103,iTz So Spacey,9,13,0.692307692
104,DUD3 WheresMyAR,12,12,1
105,Whffles,19,11,1.727272727
106,Simfasaa x,14,10,1.4
107,Cpt MiIler,9,11,0.818181818
108,No GOAT No HWC,15,14,1.071428571
109,TaLoN HCS,8,14,0.571428571
110,THE BABAA YAGA,12,13,0.923076923
111,Kai HCS,9,12,0.75
112,Weakachu,10,10,1
113,ISO R0,11,14,0.785714286
114,Borgi,15,9,1.666666667
115,SiickaThanYoAvg,8,14,0.571428571
116,Firemxn,12,10,1.2
117,Trevaholic,15,10,1.5
118,Parvdize,13,14,0.928571429
119,DasTroyed,18,10,1.8
120,Air NocturnaL,13,14,0.928571429
121,TrumpsWig4Prez,7,7,1
122,sL Ketzal,11,10,1.1
123,Sebb,6,13,0.461538462
124,Nemassist MN,13,8,1.625
125,OG Fractur3,5,11,0.454545455
126,Minddsett,9,12,0.75